Douliu,Zhenxi ES.,Zhonghua Movie City,Tzu Chi Clinic Center,Yunlin Motor Vehicles Station,County Government,Jiuan 1,Jiuan,Xinzhuang,Dongming Village,Xinguang,Beishi,Xincuo,Daye,Pinghecuo,Ping-He ES.,Huwei Police Substation,Huwei SH.,Huwei Traffic Circle,Huwei,NFU,Dingnan,Zhongnan,Xianan,Yongnian High School,Tuku,Tuku Voc.,Xiadian,Xinxing,Yiyun Temple,Fenqihu,Xiutan,Heping ES.,Zimau,Yuanchang,Yuanzhang1,Bai hua mu,Dingxizhuang,Xizhuang,Gouzao,Dingcaohu,Caohu,Xinjie,Wulu Caishen Temple,Beigang Power Company,Beigang,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
466011200153955 ,中湳站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
惠來公墓,惠來國小,大路墘,崁腳,中溪,埒內,媽祖醫院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huilai cemetery,Huilai ES.,Daluqian,Kanjiao,Zhongxi,Lenei,Mazu Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7124,F,下湳站(西向),,,A[繞駛媽祖醫院],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六,北港,經北勢子,虎尾、土庫、元長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douliu,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0650,0800,0850,0950,1110,1315,1410,1450,1545,1720,1910,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0650,0800,0850,0950,1110,1315,1450,1545,1645,1720,1910,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六,鎮西國小,中華影城,慈濟門診中心,雲林監理站,縣政府,久安1,久安,新庄,東明里,新光,北勢,新厝,大業,平和厝,平和國小,虎尾分局,虎尾高中,虎尾圓環,虎尾,虎尾科技大學,頂湳,中湳,下湳,永年中學,土庫,土庫商工,下店,新興,義雲宮,奮起湖,秀潭,和平國小,子茂,元長,元長1,白花墓,頂西庄,西庄,溝皂,頂草湖,草湖,新街,五路財神廟,北港電力公司,北港,,
Douliu,Zhenxi ES.,Zhonghua Movie City,Tzu Chi Clinic Center,Yunlin Motor Vehicles Station,County Government,Jiuan 1,Jiuan,Xinzhuang,Dongming Village,Xinguang,Beishi,Xincuo,Daye,Pinghecuo,Ping-He ES.,Huwei Police Substation,Huwei SH.,Huwei Traffic Circle,Huwei,NFU,Dingnan,Zhongnan,Xianan,Yongnian High School,Tuku,Tuku Voc.,Xiadian,Xinxing,Yiyun Temple,Fenqihu,Xiutan,Heping ES.,Zimau,Yuanchang,Yuanzhang1,Bai hua mu,Dingxizhuang,Xizhuang,Gouzao,Dingcaohu,Caohu,Xinjie,Wulu Caishen Temple,Beigang Power Company,Beigang,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
466011200153679 ,下湳站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
惠來公墓,惠來國小,大路墘,崁腳,中溪,埒內,媽祖醫院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huilai cemetery,Huilai ES.,Daluqian,Kanjiao,Zhongxi,Lenei,Mazu Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7124,F,永年中學站(西向),,,A[繞駛媽祖醫院],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六,北港,經北勢子,虎尾、土庫、元長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douliu,Beigang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
依里程計費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺西客運 05-6322168,公路總局用路人服務專線 0800-231035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0650,0800,0850,0950,1110,1315,1410,1450,1545,1720,1910,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0650,0800,0850,0950,1110,1315,1450,1545,1645,1720,1910,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六,鎮西國小,中華影城,慈濟門診中心,雲林監理站,縣政府,久安1,久安,新庄,東明里,新光,北勢,新厝,大業,平和厝,平和國小,虎尾分局,虎尾高中,虎尾圓環,虎尾,虎尾科技大學,頂湳,中湳,下湳,永年中學,土庫,土庫商工,下店,新興,義雲宮,奮起湖,秀潭,和平國小,子茂,元長,元長1,白花墓,頂西庄,西庄,溝皂,頂草湖,草湖,新街,五路財神廟,北港電力公司,北港,,
Douliu,Zhenxi ES.,Zhonghua Movie City,Tzu Chi Clinic Center,Yunlin Motor Vehicles Station,County Government,Jiuan 1,Jiuan,Xinzhuang,Dongming Village,Xinguang,Beishi,Xincuo,Daye,Pinghecuo,Ping-He ES.,Huwei Police Substation,Huwei SH.,Huwei Traffic Circle,Huwei,NFU,Dingnan,Zhongnan,Xianan,Yongnian High School,Tuku,Tuku Voc.,Xiadian,Xinxing,Yiyun Temple,Fenqihu,Xiutan,Heping ES.,Zimau,Yuanchang,Yuanzhang1,Bai hua mu,Dingxizhuang,Xizhuang,Gouzao,Dingcaohu,Caohu,Xinjie,Wulu Caishen Temple,Beigang Power Company,Beigang,,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
466011200153677 ,永年中學站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
惠來公墓,惠來國小,大路墘,崁腳,中溪,埒內,媽祖醫院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huilai cemetery,Huilai ES.,Daluqian,Kanjiao,Zhongxi,Lenei,Mazu Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
